Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Health Care-total £ billion nominal,,Pensions-total £ billion nominal,,Welfare-total £ billion nominal,,Education-total £ billion nominal,,Defence-total £ billion nominal,
1900,4.09,measuringworth.com/ukgdp,41.155,0.01,a,0.00,,0.01,a,0.03,a,0.07,a
1901,-1.38,measuringworth.com/ukgdp,41.538,0.01,a,0.00,,0.01,a,0.03,a,0.12,a
1902,-1.04,measuringworth.com/ukgdp,41.893,0.01,a,0.00,,0.01,a,0.03,a,0.13,a
1903,-0.25,measuringworth.com/ukgdp,42.247,0.01,a,0.00,,0.01,a,0.03,a,0.11,a
1904,-1.1,measuringworth.com/ukgdp,42.611,0.01,a,0.00,,0.01,a,0.04,a,0.07,a
1905,0.48,measuringworth.com/ukgdp,42.981,0.01,a,0.00,,0.01,a,0.04,a,0.07,a
1906,1.4,measuringworth.com/ukgdp,43.361,0.01,a,0.00,a,0.01,a,0.05,a,0.06,a
1907,1.58,measuringworth.com/ukgdp,43.738,0.01,a,0.00,a,0.01,a,0.05,a,0.06,a
1908,-0.74,measuringworth.com/ukgdp,44.124,0.01,a,0.00,a,0.01,a,0.05,a,0.06,a
1909,-0.35,measuringworth.com/ukgdp,44.520,0.01,a,0.00,a,0.02,a,0.05,a,0.06,a
1910,1.44,measuringworth.com/ukgdp,44.916,0.01,a,0.00,a,0.02,a,0.05,a,0.06,a
1911,0.58,measuringworth.com/ukgdp,42.190,0.01,a,0.00,a,0.02,a,0.05,a,0.07,a
1912,2.61,measuringworth.com/ukgdp,42.374,0.01,a,0.00,a,0.02,a,0.06,a,0.07,a
1913,-0.17,measuringworth.com/ukgdp,42.582,0.01,a,0.00,a,0.03,a,0.06,a,0.07,a
1914,-0.8,measuringworth.com/ukgdp,42.957,0.01,a,0.00,a,0.03,a,0.06,a,0.08,a
1915,14.36,measuringworth.com/ukgdp,41.362,0.01,a,0.00,a,0.03,a,0.06,a,0.44,a
1916,14.76,measuringworth.com/ukgdp,40.536,0.02,a,0.00,a,0.03,a,0.06,a,1.40,a
1917,24.35,measuringworth.com/ukgdp,39.781,0.02,a,0.00,a,0.03,a,0.06,a,1.97,a
1918,16.79,measuringworth.com/ukgdp,39.582,0.02,a,0.00,a,0.03,a,0.07,a,2.40,a
1919,15.24,measuringworth.com/ukgdp,42.944,0.02,a,0.00,a,0.03,a,0.07,a,2.20,a
1920,16.64,measuringworth.com/ukgdp,43.646,0.02,a,0.10,a,0.05,a,0.11,a,0.69,a
1921,-8.17,measuringworth.com/ukgdp,43.904,0.04,a,0.11,a,0.09,a,0.15,a,0.30,a
1922,-14.46,measuringworth.com/ukgdp,44.332,0.04,a,0.10,a,0.10,a,0.16,a,0.22,a
1923,-7.53,measuringworth.com/ukgdp,44.563,0.04,a,0.08,a,0.09,a,0.14,a,0.12,a
1924,-2.09,measuringworth.com/ukgdp,44.886,0.04,a,0.07,a,0.08,a,0.13,a,0.12,a
1925,-0.26,measuringworth.com/ukgdp,45.040,0.04,a,0.07,a,0.09,a,0.14,a,0.12,a
1926,-0.42,measuringworth.com/ukgdp,45.218,0.04,a,0.07,a,0.09,a,0.14,a,0.13,a
1927,-1.94,measuringworth.com/ukgdp,45.432,0.04,a,0.07,a,0.11,a,0.15,a,0.12,a
1928,-0.89,measuringworth.com/ukgdp,45.622,0.04,a,0.06,a,0.10,a,0.15,a,0.13,a
1929,-0.84,measuringworth.com/ukgdp,45.731,0.04,a,0.06,a,0.10,a,0.15,a,0.12,a
1930,-0.84,measuringworth.com/ukgdp,45.889,0.05,a,0.06,a,0.11,a,0.15,a,0.12,a
1931,-1.83,measuringworth.com/ukgdp,46.074,0.06,a,0.05,a,0.12,a,0.16,a,0.12,a
1932,-2.24,measuringworth.com/ukgdp,46.335,0.06,a,0.05,a,0.13,a,0.16,a,0.11,a
1933,-1.39,measuringworth.com/ukgdp,46.520,0.07,a,0.05,a,0.16,a,0.15,a,0.11,a
1934,-0.87,measuringworth.com/ukgdp,46.666,0.07,a,0.05,a,0.16,a,0.15,a,0.12,a
1935,0.79,measuringworth.com/ukgdp,46.869,0.08,a,0.05,a,0.16,a,0.16,a,0.12,a
1936,0.89,measuringworth.com/ukgdp,47.081,0.08,a,0.05,a,0.17,a,0.17,a,0.15,a
1937,3.46,measuringworth.com/ukgdp,47.289,0.09,a,0.05,a,0.17,a,0.18,a,0.20,a
1938,2.36,measuringworth.com/ukgdp,47.494,0.10,a,0.04,a,0.16,a,0.18,a,0.21,a
1939,2.88,measuringworth.com/ukgdp,47.548,0.10,a,0.04,a,0.16,a,0.19,a,0.27,a
1940,11.13,measuringworth.com/ukgdp,46.029,0.11,a,0.04,a,0.16,a,0.19,a,0.64,a
